emp_length_int,home_ownership,income_category,annual_inc,loan_amount,term,purpose,interest_payments,loan_condition,interest_rate,grade,dti,total_pymnt,total_rec_prncp,recoveries,installment,region
10.0,RENT,Low,24000,5000, 36 months,credit_card,Low,Good Loan,10.65,B,27.65,5861.071414,5000.0,0.0,162.87,munster
0.5,RENT,Low,30000,2500, 60 months,car,High,Bad Loan,15.27,C,1.0,1008.71,456.46,117.08,59.83,leinster
10.0,RENT,Low,12252,2400, 36 months,small_business,High,Good Loan,15.96,C,8.72,3003.653644,2400.0,0.0,84.33,cannught
10.0,RENT,Low,49200,10000, 36 months,other,High,Good Loan,13.49,C,20.0,12226.30221,10000.0,0.0,339.31,ulster
1.0,RENT,Low,80000,3000, 60 months,other,Low,Good Loan,12.69,B,17.94,3242.17,2233.1,0.0,67.79,ulster
3.0,RENT,Low,36000,5000, 36 months,wedding,Low,Good Loan,7.9,A,11.2,5631.377753,5000.0,0.0,156.46,munster
8.0,RENT,Low,47004,7000, 60 months,debt_consolidation,High,Good Loan,15.96,C,23.51,8136.84,5110.85,0.0,170.08,leinster
9.0,RENT,Low,48000,3000, 36 months,car,High,Good Loan,18.64,E,5.35,3938.1443340000014,3000.0,0.0,109.43,ulster
4.0,OWN,Low,40000,5600, 60 months,small_business,High,Bad Loan,21.28,F,5.55,646.02,162.02,189.06,152.39,ulster
0.5,RENT,Low,15000,5375, 60 months,other,Low,Bad Loan,12.69,B,18.08,1476.19,673.48,269.29,121.45,munster
5.0,OWN,Low,72000,6500, 60 months,debt_consolidation,High,Good Loan,14.65,C,16.12,7677.52,6500.0,0.0,153.45,munster
10.0,OWN,Low,75000,12000, 36 months,debt_consolidation,Low,Good Loan,12.69,B,10.78,13943.08,12000.0,0.0,402.54,ulster
0.5,RENT,Low,30000,9000, 36 months,debt_consolidation,High,Bad Loan,13.49,C,10.08,2270.7,1256.14,444.3,305.38,leinster
3.0,RENT,Low,15000,3000, 36 months,credit_card,Low,Good Loan,9.91,B,12.56,3478.981915,3000.0,0.0,96.68,cannught
3.0,RENT,Low,100000,10000, 36 months,other,Low,Bad Loan,10.65,B,7.06,7471.99,5433.47,645.1,325.74,ulster
0.5,RENT,Low,28000,1000, 36 months,debt_consolidation,High,Good Loan,16.29,D,20.31,1270.171106,1000.0,0.0,35.31,cannught
4.0,RENT,Low,42000,10000, 36 months,home_improvement,High,Good Loan,15.27,C,18.6,12519.26045,10000.0,0.0,347.98,ulster
10.0,MORTGAGE,Medium,110000,3600, 36 months,major_purchase,Low,Good Loan,6.03,A,10.52,3785.02,3600.0,0.0,109.57,Northern-Irl
1.0,MORTGAGE,Low,84000,6000, 36 months,medical,Low,Good Loan,11.71,B,18.44,7164.499852,6000.0,0.0,198.46,ulster
6.0,RENT,Low,77385,9200, 36 months,debt_consolidation,Low,Good Loan,6.03,A,9.86,9459.96,9200.0,0.0,280.01,ulster
3.0,RENT,Low,43370,20250, 60 months,debt_consolidation,High,Good Loan,15.27,C,26.53,27663.04267,20250.0,0.0,484.63,munster
10.0,RENT,Medium,105000,21000, 36 months,debt_consolidation,Low,Bad Loan,12.42,B,13.22,14025.4,10694.96,0.0,701.73,leinster
10.0,OWN,Low,50000,10000, 36 months,credit_card,Low,Good Loan,11.71,B,11.18,11902.56157,10000.0,0.0,330.76,munster
5.0,RENT,Low,50000,10000, 36 months,debt_consolidation,Low,Good Loan,11.71,B,16.01,11536.31,10000.0,0.0,330.76,ulster
1.0,RENT,Low,76000,6000, 36 months,major_purchase,Low,Bad Loan,11.71,B,2.4,2050.14,1305.58,269.31,198.46,ulster
2.0,MORTGAGE,Low,92000,15000, 36 months,credit_card,Low,Good Loan,9.91,B,29.44,15823.48,15000.0,0.0,483.38,cannught
9.0,RENT,Low,60000,15000, 36 months,debt_consolidation,High,Bad Loan,14.27,C,15.22,0.0,0.0,0.0,514.64,Northern-Irl
2.0,RENT,Low,50004,5000, 60 months,other,High,Bad Loan,16.77,D,13.97,1609.12,629.05,260.96,123.65,Northern-Irl
10.0,MORTGAGE,Medium,106000,4000, 36 months,debt_consolidation,Low,Good Loan,11.71,B,5.63,4484.79,4000.0,0.0,132.31,leinster
0.5,RENT,Low,25000,8500, 36 months,credit_card,Low,Good Loan,11.71,B,12.19,10122.20861,8500.0,0.0,281.15,cannught
7.0,MORTGAGE,Low,17108,4375, 36 months,debt_consolidation,Low,Good Loan,7.51,A,20.34,4898.5435579999985,4375.0,0.0,136.11,Northern-Irl
5.0,MORTGAGE,Low,75000,31825, 36 months,debt_consolidation,Low,Good Loan,7.9,A,14.03,34886.08,31825.0,0.0,995.82,Northern-Irl
2.0,RENT,Low,29120,10000, 60 months,debt_consolidation,High,Good Loan,15.96,C,22.83,11622.36,7304.67,0.0,242.97,leinster
2.0,RENT,Low,24044,5000, 36 months,debt_consolidation,Low,Good Loan,8.9,A,11.93,5714.592129,5000.0,0.0,158.77,ulster
7.0,RENT,Low,34000,7000, 36 months,credit_card,High,Good Loan,15.96,C,6.35,8848.94043,7000.0,0.0,245.97,ulster
10.0,RENT,Low,41000,12400, 36 months,credit_card,Low,Good Loan,10.65,B,11.8,14537.459530000002,12400.0,0.0,403.91,leinster
2.0,RENT,Low,55596,10800, 36 months,moving,Low,Good Loan,9.91,B,5.5,12157.2,10800.0,0.0,348.03,ulster
1.0,RENT,Low,45000,15000, 36 months,debt_consolidation,Low,Good Loan,7.9,A,8.48,16662.6,15000.0,0.0,469.36,cannught
1.0,RENT,Low,36852,6000, 36 months,debt_consolidation,Low,Good Loan,12.42,B,10.62,7125.283165000003,6000.0,0.0,200.5,munster
1.0,RENT,Low,27000,12500, 60 months,debt_consolidation,Low,Good Loan,12.69,B,16.04,13506.54,9306.87,0.0,282.44,cannught
4.0,RENT,Low,68004,9600, 36 months,other,Low,Good Loan,7.51,A,6.63,10749.76265,9600.0,0.0,298.67,leinster
10.0,RENT,Low,62300,12000, 36 months,debt_consolidation,Low,Good Loan,7.9,A,16.7,13516.382959999999,12000.0,0.0,375.49,Northern-Irl
9.0,MORTGAGE,Low,65000,3000, 36 months,other,High,Good Loan,18.25,D,17.39,3915.0275950000014,3000.0,0.0,108.84,Northern-Irl
10.0,RENT,Low,55000,4400, 36 months,debt_consolidation,High,Good Loan,16.77,D,20.01,5626.892655,4400.0,0.0,156.37,Northern-Irl
10.0,MORTGAGE,Low,45600,6000, 36 months,debt_consolidation,Low,Good Loan,6.03,A,5.34,6065.86,6000.0,0.0,182.62,leinster
6.0,RENT,Low,80000,14000, 36 months,small_business,Low,Good Loan,9.91,B,10.0,16239.914130000001,14000.0,0.0,451.15,Northern-Irl
10.0,MORTGAGE,Low,100000,5000, 36 months,debt_consolidation,Low,Bad Loan,8.9,A,16.33,5021.37,4217.38,107.0,158.77,cannught
6.0,RENT,Low,27000,10000, 36 months,other,Low,Good Loan,10.65,B,11.47,11724.56774,10000.0,0.0,325.74,Northern-Irl
10.0,RENT,Low,60000,10000, 36 months,credit_card,Low,Good Loan,6.03,A,12.74,10282.67,10000.0,0.0,304.36,Northern-Irl
5.0,RENT,Low,70000,11000, 36 months,debt_consolidation,Low,Good Loan,6.62,A,10.85,12157.38005,11000.0,0.0,337.75,Northern-Irl
8.0,MORTGAGE,Low,80000,15000, 36 months,debt_consolidation,Low,Bad Loan,9.91,B,9.12,16177.77,13556.45,222.81,483.38,cannught
9.0,RENT,Medium,110000,25600, 36 months,credit_card,Low,Good Loan,9.91,B,15.71,29695.62268,25600.0,0.0,824.96,ulster
0.5,RENT,Low,40000,7000, 36 months,debt_consolidation,Low,Good Loan,10.65,B,7.38,8205.473816,7000.0,0.0,228.02,ulster
4.0,RENT,Low,50000,12000, 36 months,car,High,Bad Loan,15.96,C,20.88,3521.95,1903.66,578.94,421.65,ulster
1.0,RENT,Low,46000,12000, 36 months,credit_card,Low,Good Loan,9.91,B,8.11,13748.213109999999,12000.0,0.0,386.7,munster
7.0,RENT,Low,50000,21000, 60 months,debt_consolidation,High,Bad Loan,19.91,E,21.58,18319.14,8990.81,0.0,555.33,ulster
7.0,RENT,Low,81000,16000, 60 months,credit_card,High,Good Loan,19.91,E,20.52,20876.1,16000.0,0.0,423.11,Northern-Irl
0.5,OWN,Low,39000,10000, 36 months,debt_consolidation,Low,Good Loan,12.42,B,18.58,11474.76,10000.0,0.0,334.16,ulster
2.0,RENT,Low,51400,10000, 36 months,credit_card,Low,Good Loan,10.65,B,19.14,10575.94,10000.0,0.0,325.74,munster
1.0,MORTGAGE,Low,33000,7100, 36 months,debt_consolidation,High,Good Loan,16.77,D,24.0,9079.334843,7100.0,0.0,252.33,munster
0.5,MORTGAGE,Low,30000,13000, 60 months,debt_consolidation,Low,Good Loan,12.69,B,13.72,17402.239990000002,13000.0,0.0,293.74,Northern-Irl
6.0,RENT,Low,40000,17500, 60 months,small_business,High,Good Loan,17.27,D,19.47,10713.52,6487.75,0.0,223.74,ulster
0.5,RENT,Low,50000,17675, 60 months,debt_consolidation,High,Good Loan,14.65,C,16.46,21323.43,17675.0,0.0,417.25,cannught
0.5,RENT,Low,62000,8000, 36 months,debt_consolidation,High,Good Loan,16.77,D,21.64,10267.26214,8000.0,0.0,284.31,leinster
10.0,RENT,Low,45996,10000, 60 months,debt_consolidation,Low,Bad Loan,10.65,B,21.73,8772.91,5495.38,847.3,215.69,cannught
7.0,MORTGAGE,Low,55000,3500, 36 months,debt_consolidation,Low,Good Loan,10.65,B,5.39,4103.168128,3500.0,0.0,114.01,cannught
